sample,method,M,ci_low,ci_high,excludes_zero,original_estimate,original_se,status
all,relative_magnitude,0.0,0.498391,1.649286,True,1.073839,0.293601,ok
all,relative_magnitude,0.5,-2.424072,4.571749,False,1.073839,0.293601,ok
all,relative_magnitude,1.0,-5.346534,7.494212,False,1.073839,0.293601,ok
all,relative_magnitude,2.0,-11.19146,13.339137,False,1.073839,0.293601,ok
all,smoothness,0.0,0.941852,2.36341,True,1.073839,0.293601,ok
all,smoothness,0.5,-13.657383,27.494911,False,1.073839,0.293601,ok
all,smoothness,1.0,-31.157383,44.994911,False,1.073839,0.293601,ok
all,smoothness,2.0,-66.157383,79.994911,False,1.073839,0.293601,ok
peak,relative_magnitude,0.0,0.215441,1.655321,True,0.935381,0.367323,ok
peak,relative_magnitude,0.5,-2.103039,3.973801,False,0.935381,0.367323,ok
peak,relative_magnitude,1.0,-4.421519,6.292281,False,0.935381,0.367323,ok
peak,relative_magnitude,2.0,-9.05848,10.929242,False,0.935381,0.367323,ok
peak,smoothness,0.0,0.110157,1.667126,True,0.935381,0.367323,ok
peak,smoothness,0.5,-17.383559,25.041867,False,0.935381,0.367323,ok
peak,smoothness,1.0,-34.376669,43.571625,False,0.935381,0.367323,ok
peak,smoothness,2.0,-69.376669,78.571625,False,0.935381,0.367323,ok
offpeak,relative_magnitude,0.0,0.331434,1.497457,True,0.914445,0.29746,ok
offpeak,relative_magnitude,0.5,-2.930798,4.759689,False,0.914445,0.29746,ok
offpeak,relative_magnitude,1.0,-6.19303,8.021921,False,0.914445,0.29746,ok
offpeak,relative_magnitude,2.0,-12.717494,14.546384,False,0.914445,0.29746,ok
offpeak,smoothness,0.0,0.580092,2.06055,True,0.914445,0.29746,ok
offpeak,smoothness,0.5,-14.559792,27.15007,False,0.914445,0.29746,ok
offpeak,smoothness,1.0,-30.93166,45.809478,False,0.914445,0.29746,ok
offpeak,smoothness,2.0,-65.93166,80.809478,False,0.914445,0.29746,ok
weekend,relative_magnitude,0.0,0.913858,2.073677,True,1.493767,0.295878,ok
weekend,relative_magnitude,0.5,-2.084958,5.072493,False,1.493767,0.295878,ok
weekend,relative_magnitude,1.0,-5.083774,8.071309,False,1.493767,0.295878,ok
weekend,relative_magnitude,2.0,-11.081407,14.068942,False,1.493767,0.295878,ok
weekend,smoothness,0.0,1.209063,2.758769,True,1.493767,0.295878,ok
weekend,smoothness,0.5,-16.972762,25.118713,False,1.493767,0.295878,ok
weekend,smoothness,1.0,-31.385344,46.368144,False,1.493767,0.295878,ok
weekend,smoothness,2.0,-66.385344,81.368144,False,1.493767,0.295878,ok
