link_id,treated,n_hourly,n_post_hours,n_pre_hours,retained,exclusion_reason,sample
100098,False,1029,498,531,True,,peak
100115,False,1032,498,534,True,,peak
1004,True,1027,498,529,True,,peak
1011,True,1012,498,514,True,,peak
102103,True,955,426,529,True,,peak
103020,True,1032,498,534,True,,peak
103102,True,928,416,512,True,,peak
103105,True,977,443,534,True,,peak
104079,True,952,420,532,True,,peak
105044,True,977,443,534,True,,peak
105045,True,901,367,534,True,,peak
106047,True,693,305,388,True,,peak
106050,True,600,288,312,True,,peak
106107,True,984,461,523,True,,peak
107075,True,525,302,223,True,,peak
107083,True,827,450,377,True,,peak
108078,True,869,404,465,True,,peak
109049,True,639,260,379,True,,peak
109080,True,862,466,396,True,,peak
109085,True,819,453,366,True,,peak
11001,True,1027,498,529,True,,peak
11012,True,991,457,534,True,,peak
11014,True,1016,492,524,True,,peak
111112,False,993,473,520,True,,peak
111113,False,1031,497,534,True,,peak
112111,False,1032,498,534,True,,peak
113093,False,1032,498,534,True,,peak
113111,False,1032,498,534,True,,peak
114115,False,958,439,519,True,,peak
114137,False,956,454,502,True,,peak
115100,False,1032,498,534,True,,peak
115114,False,1012,478,534,True,,peak
118008,True,447,247,200,True,,peak
118023,True,446,246,200,True,,peak
119061,True,973,446,527,True,,peak
12013,True,1010,476,534,True,,peak
120135,False,924,414,510,True,,peak
120140,False,1016,498,518,True,,peak
12015,True,999,468,531,True,,peak
121127,False,960,426,534,True,,peak
121145,False,960,426,534,True,,peak
121146,False,960,426,534,True,,peak
122134,False,821,498,323,True,,peak
122135,False,1017,498,519,True,,peak
123124,False,926,394,532,True,,peak
124123,False,937,403,534,True,,peak
124125,False,1005,471,534,True,,peak
125124,False,1011,477,534,True,,peak
125127,False,1023,489,534,True,,peak
126062,False,960,426,534,True,,peak
126145,False,960,426,534,True,,peak
127121,False,960,426,534,True,,peak
127125,False,1032,498,534,True,,peak
128068,False,1031,498,533,True,,peak
129130,False,957,426,531,True,,peak
129131,False,791,426,365,True,,peak
13003,True,851,393,458,True,,peak
130129,False,960,426,534,True,,peak
130139,False,960,426,534,True,,peak
13016,True,1032,498,534,True,,peak
131129,False,960,426,534,True,,peak
134122,False,1032,498,534,True,,peak
135120,False,1017,498,519,True,,peak
135122,False,627,186,441,True,,peak
137114,False,576,335,241,True,,peak
139130,False,960,426,534,True,,peak
139146,False,960,426,534,True,,peak
14011,True,1029,495,534,True,,peak
140120,False,1032,498,534,True,,peak
140144,False,1032,498,534,True,,peak
14017,True,940,412,528,True,,peak
14118,True,415,243,172,True,,peak
144092,False,973,443,530,True,,peak
144140,False,1032,498,534,True,,peak
145121,False,960,426,534,True,,peak
145126,False,960,426,534,True,,peak
146121,False,960,426,534,True,,peak
146139,False,960,426,534,True,,peak
147150,False,560,184,376,True,,peak
148150,False,969,459,510,True,,peak
148151,False,684,150,534,True,,peak
15014,True,999,486,513,True,,peak
150147,False,991,459,532,True,,peak
150148,False,984,457,527,True,,peak
15018,True,989,469,520,True,,peak
151148,False,665,150,515,True,,peak
154181,False,1032,498,534,True,,peak
154182,False,1032,498,534,True,,peak
155180,False,967,482,485,True,,peak
156181,False,1032,498,534,True,,peak
157158,False,640,369,271,True,,peak
157159,False,408,267,141,True,,peak
157160,False,949,474,475,True,,peak
157163,False,954,478,476,True,,peak
157177,False,947,473,474,True,,peak
158157,False,852,379,473,True,,peak
158165,False,551,383,168,True,,peak
158185,False,514,9,505,True,,peak
159157,False,926,459,467,True,,peak
159176,False,1015,485,530,True,,peak
159179,False,960,485,475,True,,peak
16013,True,1029,498,531,True,,peak
16015,True,1026,493,533,True,,peak
160157,False,939,472,467,True,,peak
160159,False,1017,486,531,True,,peak
160183,False,1025,491,534,True,,peak
16019,True,1005,498,507,True,,peak
161162,False,1032,498,534,True,,peak
161183,False,1031,497,534,True,,peak
162175,False,1032,498,534,True,,peak
162179,False,976,498,478,True,,peak
163157,False,948,475,473,True,,peak
163164,False,1032,498,534,True,,peak
164163,False,1032,498,534,True,,peak
