sample,specification,status,reason,n_common_hourly,n_treated_links,n_control_links,n_pre_hours,n_post_hours,beta_mph,se_mph,t,p_value,ci_low,ci_high,df_inference,ci_includes_zero,n_obs,n_links,n_clusters,n_periods,finite_sample_correction,absorbed_parameter_count_convention,absorption_iterations,covariance,intercept_mph,beta_difference_mph,se_ratio
peak,hourly,ok,,277000,145,167,143622,133378,0.6054055993656017,0.22909623002315324,2.642582111911738,0.008644104707922684,0.15463101561114156,1.0561801831200617,311,False,277000,312,312,1032,1.0081067712384084,1345.0,9.0,link-cluster,,0.0,1.0
peak,daily,ok,,277000,145,167,143622,133378,0.6652338550921384,0.24820066837879454,2.6802258810878117,0.00774929911204593,0.1768689746891624,1.1535987354951143,311,False,48183,312,312,172,1.0133952376413282,485.0,8.0,link-cluster,,0.059828255726536717,1.083390452796672
peak,collapsed,ok,,277000,145,167,143622,133378,1.9790376875598599,1.3776437686063647,1.4365380460885544,0.15185771341267446,-0.7316774650445932,4.689752840164313,310,True,312,312,312,2,1.0064516129032257,,,HC1,-1.5000896470019227,1.3736320881942583,6.013384718147197
all,hourly,ok,,1504830,145,167,790742,714088,0.7933871040390293,0.21206175331013716,3.7413021992641573,0.000217956791721363,0.3761299166599213,1.2106442914181375,311,False,1504830,312,312,5774,1.007289227343575,6087.0,9.0,link-cluster,,0.0,1.0
all,daily,ok,,1504830,145,167,790742,714088,0.7321968653905461,0.268590960844638,2.7260666669049716,0.006772760258002807,0.20371161461747112,1.260682116163621,311,False,68266,312,312,242,1.0114235738316824,555.0,8.0,link-cluster,,-0.061190238648483275,1.2665695565188868
all,collapsed,ok,,1504830,145,167,790742,714088,0.0802952519809702,0.811369859822984,0.09896257669527947,0.9212319451193073,-1.5161933494327586,1.6767838533946988,310,True,312,312,312,2,1.0064516129032257,,,HC1,0.6999469526460124,-0.7130918520580591,3.826101817786858
offpeak,hourly,ok,,798701,145,167,415854,382847,0.6884306618562231,0.20458280949961274,3.3650464745305313,0.0008612084544212567,0.28588920237351667,1.0909721213389296,311,False,798701,312,312,3093,1.007510630901203,3406.0,9.0,link-cluster,,0.0,1.0
offpeak,daily,ok,,798701,145,167,415854,382847,0.5481502755966,0.2841859471599667,1.9288437062936445,0.0546600841256839,-0.011019999824145144,1.1073205510173452,311,True,48535,312,312,172,1.0133206634300416,485.0,8.0,link-cluster,,-0.14028038625962314,1.3890998361741858
offpeak,collapsed,ok,,798701,145,167,415854,382847,-0.4693741283963888,1.2752776282542324,-0.36805642786891024,0.7130823450232261,-2.9786689616922692,2.0399207048994916,310,True,312,312,312,2,1.0064516129032257,,,HC1,1.188713624886694,-1.1578047902526118,6.233552229404917
weekend,hourly,ok,,429129,145,167,231266,197863,1.140761324157971,0.2425392423391808,4.70340928402285,3.853127469739035e-06,0.6635359852751922,1.61798666304075,311,False,429129,312,312,1649,1.0078209056350973,1962.0,9.0,link-cluster,,0.0,1.0
weekend,daily,ok,,429129,145,167,231266,197863,1.1702398405153123,0.296580288037023,3.9457775439520364,9.837267868064963e-05,0.5866821980514634,1.7537974829791612,311,False,19671,312,312,70,1.0230841760900267,383.0,9.0,link-cluster,,0.029478516357341222,1.222813616372513
weekend,collapsed,ok,,429129,145,167,231266,197863,0.21137668631781154,0.9983363093721367,0.21172893776722232,0.8324576430311303,-1.752995688369352,2.175749061004975,310,True,312,312,312,2,1.0064516129032257,,,HC1,0.9471089777792178,-0.9293846378401596,4.116184662505072
