link_id,in_rule_a,in_rule_b
100098,False,True
100115,False,True
111112,True,False
112111,True,False
113111,False,True
114115,False,True
114137,True,False
115114,False,True
117071,True,False
117072,True,False
120135,False,True
120140,True,False
121146,True,False
122135,False,True
123124,True,False
124123,True,True
124125,False,True
125124,False,True
127121,True,True
127125,False,True
128068,False,True
129131,False,True
130129,False,True
134122,False,True
134133,True,False
135120,False,True
137114,True,True
139146,True,False
140144,True,False
144140,False,True
145126,True,False
146121,True,False
146139,True,True
148150,False,True
150147,False,True
150148,False,True
151148,False,True
154181,True,False
154182,True,False
155180,False,True
156181,True,False
157158,True,False
157159,True,True
157160,False,True
157163,True,False
157177,False,True
158157,True,True
158165,True,True
159157,True,False
159176,False,True
159179,True,False
160157,True,False
160159,True,False
160183,True,False
161162,False,True
161183,True,False
162175,True,False
162179,False,True
163157,True,False
163164,True,False
164163,False,True
164165,True,False
165164,True,False
166167,False,True
167166,False,True
167168,False,True
169166,False,True
172171,False,True
172173,False,True
173172,False,True
175184,False,True
176177,False,True
176184,True,False
177176,True,False
177178,False,True
178177,True,True
179159,True,True
179162,True,False
181154,True,False
181156,True,True
183160,True,False
183161,True,False
184175,False,True
184176,False,True
191021,False,True
192193,False,True
193021,False,True
201071,True,False
202035,False,True
21022,True,False
21193,True,True
22021,True,False
26034,False,True
29150,False,True
34025,False,True
34028,False,True
35202,True,False
43051,False,True
51043,False,True
62126,False,True
63074,True,False
66067,True,False
66074,False,True
67068,False,True
70071,True,False
71117,True,False
72117,True,False
74063,True,True
74066,False,True
86099,False,True
87086,False,True
87088,True,False
88087,True,False
88089,False,True
90091,True,True
91090,False,True
92091,False,True
92144,True,False
93113,False,True
94093,False,True
97096,False,True
97099,False,True
98094,False,True
99086,False,True
99097,False,True
