link_id,weight
167166,0.114849
162179,0.098387
157177,0.08278
166167,0.044251
122135,0.044097
43051,0.03972
181156,0.039685
159176,0.028057
67068,0.02798
26034,0.025958
192193,0.024823
74063,0.02456
130129,0.021802
97096,0.019523
99086,0.019402
150147,0.017322
202035,0.016921
114115,0.014433
151148,0.012243
29150,0.010637
97099,0.009633
179159,0.008991
135120,0.008409
115114,0.008183
21193,0.007936
93113,0.007628
100098,0.007293
87086,0.007269
169166,0.007222
66074,0.007172
175184,0.007006
128068,0.006829
134122,0.006436
176177,0.006391
144140,0.006134
51043,0.005986
137114,0.005697
98094,0.005529
34025,0.005461
124125,0.005315
127121,0.005181
167168,0.005174
124123,0.00403
193021,0.003707
129131,0.003514
184175,0.003367
74066,0.002886
172171,0.00272
125124,0.002526
86099,0.002487
120135,0.002436
157160,0.002289
161162,0.002033
127125,0.002015
178177,0.001989
173172,0.001962
164163,0.001874
177178,0.001851
172173,0.001613
146139,0.001609
88089,0.001575
92091,0.001473
148150,0.001455
99097,0.001453
155180,0.001445
150148,0.001304
91090,0.00125
34028,0.001235
90091,0.001214
62126,0.001164
191021,0.001135
100115,0.001071
113111,0.001068
158165,0.00105
184176,0.001041
157159,0.001028
158157,0.001015
94093,0.001002
