sample,method,M,ci_low,ci_high,excludes_zero,original_estimate,original_se,status
all,relative_magnitude,0.0,0.507593,1.746712,True,1.127153,0.316107,ok
all,relative_magnitude,0.5,-5.134485,7.38879,False,1.127153,0.316107,ok
all,relative_magnitude,1.0,-10.776563,13.030868,False,1.127153,0.316107,ok
all,relative_magnitude,2.0,-22.060719,24.315025,False,1.127153,0.316107,ok
all,smoothness,0.0,-0.01637,0.700096,False,1.127153,0.316107,ok
all,smoothness,0.5,-23.968646,40.783111,False,1.127153,0.316107,ok
all,smoothness,1.0,-52.468646,69.283111,False,1.127153,0.316107,ok
all,smoothness,2.0,-109.468646,126.283111,False,1.127153,0.316107,ok
peak,relative_magnitude,0.0,0.177651,1.704588,True,0.941119,0.389532,ok
peak,relative_magnitude,0.5,-12.080245,13.962484,False,0.941119,0.389532,ok
peak,relative_magnitude,1.0,-24.338141,26.220379,False,0.941119,0.389532,ok
peak,relative_magnitude,2.0,-48.853933,50.736171,False,0.941119,0.389532,ok
peak,smoothness,0.0,-0.567159,0.237326,False,0.941119,0.389532,ok
peak,smoothness,0.5,-29.165132,37.501681,False,0.941119,0.389532,ok
peak,smoothness,1.0,-57.1726,67.59142,False,0.941119,0.389532,ok
peak,smoothness,2.0,-114.1726,124.59142,False,0.941119,0.389532,ok
offpeak,relative_magnitude,0.0,0.31877,1.576293,True,0.947531,0.320803,ok
offpeak,relative_magnitude,0.5,-4.093357,5.98842,False,0.947531,0.320803,ok
offpeak,relative_magnitude,1.0,-8.505484,10.400546,False,0.947531,0.320803,ok
offpeak,relative_magnitude,2.0,-17.329737,19.2248,False,0.947531,0.320803,ok
offpeak,smoothness,0.0,-0.080463,0.633956,False,0.947531,0.320803,ok
offpeak,smoothness,0.5,-25.211577,40.092088,False,0.947531,0.320803,ok
offpeak,smoothness,1.0,-52.044892,70.320595,False,0.947531,0.320803,ok
offpeak,smoothness,2.0,-109.044892,127.320595,False,0.947531,0.320803,ok
weekend,relative_magnitude,0.0,0.981255,2.20887,True,1.595062,0.313173,ok
weekend,relative_magnitude,0.5,-4.344541,7.534665,False,1.595062,0.313173,ok
weekend,relative_magnitude,1.0,-9.670337,12.860461,False,1.595062,0.313173,ok
weekend,relative_magnitude,2.0,-20.321929,23.512053,False,1.595062,0.313173,ok
weekend,smoothness,0.0,0.23911,1.067878,True,1.595062,0.313173,ok
weekend,smoothness,0.5,-28.289739,37.776453,False,1.595062,0.313173,ok
weekend,smoothness,1.0,-52.755214,71.234963,False,1.595062,0.313173,ok
weekend,smoothness,2.0,-109.755214,128.234963,False,1.595062,0.313173,ok
