link_id,link_name,group,month,link_hours_present,link_hours_usable,availability,contributes
4329483,WSE S TYRELLAN AVENUE - 440 S FRANCIS STREET,control,2023-07-01,350,0,0.0,False
4329483,WSE S TYRELLAN AVENUE - 440 S FRANCIS STREET,control,2023-08-01,741,0,0.0,False
4329483,WSE S TYRELLAN AVENUE - 440 S FRANCIS STREET,control,2023-09-01,705,0,0.0,False
4329483,WSE S TYRELLAN AVENUE - 440 S FRANCIS STREET,control,2023-10-01,744,0,0.0,False
4329483,WSE S TYRELLAN AVENUE - 440 S FRANCIS STREET,control,2023-11-01,130,0,0.0,False
4329499,MLK N WALKER STREET - NJ ROUTE 169,control,2023-01-01,557,557,1.0,True
4329499,MLK N WALKER STREET - NJ ROUTE 169,control,2023-02-01,661,661,1.0,True
4329499,MLK N WALKER STREET - NJ ROUTE 169,control,2023-03-01,743,737,0.991925,True
4329499,MLK N WALKER STREET - NJ ROUTE 169,control,2023-04-01,720,716,0.994444,True
4329499,MLK N WALKER STREET - NJ ROUTE 169,control,2023-05-01,468,344,0.735043,True
4329499,MLK N WALKER STREET - NJ ROUTE 169,control,2023-06-01,541,359,0.663586,True
4329499,MLK N WALKER STREET - NJ ROUTE 169,control,2023-07-01,629,0,0.0,False
4329499,MLK N WALKER STREET - NJ ROUTE 169,control,2023-08-01,741,0,0.0,False
4329499,MLK N WALKER STREET - NJ ROUTE 169,control,2023-09-01,705,0,0.0,False
4329499,MLK N WALKER STREET - NJ ROUTE 169,control,2023-10-01,744,0,0.0,False
4329499,MLK N WALKER STREET - NJ ROUTE 169,control,2023-11-01,706,0,0.0,False
4329499,MLK N WALKER STREET - NJ ROUTE 169,control,2023-12-01,744,0,0.0,False
4329499,MLK N WALKER STREET - NJ ROUTE 169,control,2024-01-01,682,429,0.629032,True
4329499,MLK N WALKER STREET - NJ ROUTE 169,control,2024-02-01,416,416,1.0,True
4329499,MLK N WALKER STREET - NJ ROUTE 169,control,2024-03-01,717,717,1.0,True
4329499,MLK N WALKER STREET - NJ ROUTE 169,control,2024-04-01,704,702,0.997159,True
4329499,MLK N WALKER STREET - NJ ROUTE 169,control,2024-05-01,744,726,0.975806,True
4329499,MLK N WALKER STREET - NJ ROUTE 169,control,2024-06-01,720,674,0.936111,True
4329499,MLK N WALKER STREET - NJ ROUTE 169,control,2024-07-01,729,717,0.983539,True
4329499,MLK N WALKER STREET - NJ ROUTE 169,control,2024-08-01,701,699,0.997147,True
4329499,MLK N WALKER STREET - NJ ROUTE 169,control,2024-09-01,720,660,0.916667,True
4329499,MLK N WALKER STREET - NJ ROUTE 169,control,2024-10-01,744,54,0.072581,True
4329499,MLK N WALKER STREET - NJ ROUTE 169,control,2024-11-01,719,0,0.0,False
4329499,MLK N WALKER STREET - NJ ROUTE 169,control,2024-12-01,606,0,0.0,False
4329499,MLK N WALKER STREET - NJ ROUTE 169,control,2025-01-01,736,201,0.273098,True
4329499,MLK N WALKER STREET - NJ ROUTE 169,control,2025-02-01,672,618,0.919643,True
4329499,MLK N WALKER STREET - NJ ROUTE 169,control,2025-03-01,743,605,0.814266,True
4329499,MLK N WALKER STREET - NJ ROUTE 169,control,2025-04-01,720,697,0.968056,True
4329499,MLK N WALKER STREET - NJ ROUTE 169,control,2025-05-01,744,110,0.147849,True
4329499,MLK N WALKER STREET - NJ ROUTE 169,control,2025-06-01,695,426,0.61295,True
4329499,MLK N WALKER STREET - NJ ROUTE 169,control,2025-07-01,744,4,0.005376,True
4329499,MLK N WALKER STREET - NJ ROUTE 169,control,2025-08-01,743,363,0.48856,True
4329499,MLK N WALKER STREET - NJ ROUTE 169,control,2025-09-01,720,529,0.734722,True
4329499,MLK N WALKER STREET - NJ ROUTE 169,control,2025-10-01,734,607,0.826975,True
4329499,MLK N WALKER STREET - NJ ROUTE 169,control,2025-11-01,715,478,0.668531,True
4329499,MLK N WALKER STREET - NJ ROUTE 169,control,2025-12-01,738,0,0.0,False
4329499,MLK N WALKER STREET - NJ ROUTE 169,control,2026-01-01,743,0,0.0,False
4329499,MLK N WALKER STREET - NJ ROUTE 169,control,2026-02-01,672,0,0.0,False
4329499,MLK N WALKER STREET - NJ ROUTE 169,control,2026-03-01,743,0,0.0,False
4329499,MLK N WALKER STREET - NJ ROUTE 169,control,2026-04-01,476,0,0.0,False
4329499,MLK N WALKER STREET - NJ ROUTE 169,control,2026-05-01,729,0,0.0,False
4362244,CVE NB LIE - WILLETS PT BLVD,control,2023-01-01,557,557,1.0,True
4362244,CVE NB LIE - WILLETS PT BLVD,control,2023-02-01,661,661,1.0,True
4362244,CVE NB LIE - WILLETS PT BLVD,control,2023-03-01,743,743,1.0,True
4362244,CVE NB LIE - WILLETS PT BLVD,control,2023-04-01,720,720,1.0,True
4362244,CVE NB LIE - WILLETS PT BLVD,control,2023-05-01,468,468,1.0,True
