sample,group,month,link_hours_present,link_hours_usable,links_reporting,readings,positive_readings,availability,positive_reading_share,post
all,control,2023-01-01,56257,49369,101,672199,582973,0.877562,0.867263,False
all,control,2023-02-01,66322,56369,101,791340,662573,0.849929,0.83728,False
all,control,2023-03-01,74053,62236,100,888176,734985,0.840425,0.827522,False
all,control,2023-04-01,71280,59439,99,854941,701033,0.83388,0.819978,False
all,control,2023-05-01,46332,37636,99,554592,443963,0.812311,0.800522,False
all,control,2023-06-01,53559,43237,99,641158,507666,0.807278,0.791795,False
all,control,2023-07-01,63683,48297,115,761443,567417,0.758397,0.745186,False
all,control,2023-08-01,77879,60074,106,932784,708642,0.771376,0.759706,False
all,control,2023-09-01,74926,57796,106,895587,680390,0.771374,0.759714,False
all,control,2023-10-01,78873,63009,115,944805,741641,0.798867,0.784967,False
all,control,2023-11-01,72031,56880,106,861377,667591,0.78966,0.775028,False
all,control,2023-12-01,74294,63013,101,891513,745728,0.848157,0.836475,False
all,control,2024-01-01,68158,57630,100,816889,681397,0.845535,0.834137,False
all,control,2024-02-01,41610,34631,101,497464,407027,0.832276,0.818204,False
all,control,2024-03-01,72417,59621,101,865933,704126,0.823301,0.813141,False
all,control,2024-04-01,72421,59467,101,867976,702090,0.821129,0.808882,False
all,control,2024-05-01,74030,60477,103,886444,710676,0.816926,0.801716,False
all,control,2024-06-01,71280,61807,99,851815,727305,0.867102,0.85383,False
all,control,2024-07-01,72073,61643,99,861188,724572,0.855286,0.841363,False
all,control,2024-08-01,69297,59562,100,824722,698222,0.859518,0.846615,False
all,control,2024-09-01,71930,62143,100,862811,731619,0.863937,0.847948,False
all,control,2024-10-01,74400,63190,100,892290,745937,0.849328,0.83598,False
all,control,2024-11-01,71897,61288,100,861766,720684,0.852442,0.836287,False
all,control,2024-12-01,60600,51818,100,718373,607122,0.855083,0.845135,False
all,control,2025-01-01,74336,63966,100,890771,753838,0.860498,0.846276,True
all,control,2025-02-01,67200,53959,100,806400,636100,0.802961,0.788814,True
all,control,2025-03-01,74294,62418,100,891111,731080,0.840149,0.820414,True
all,control,2025-04-01,71324,61310,100,855830,714976,0.859598,0.835418,True
all,control,2025-05-01,73542,62020,99,880083,717196,0.843328,0.814919,True
all,control,2025-06-01,70244,60298,102,831923,692360,0.858408,0.83224,True
all,control,2025-07-01,75488,64194,102,895085,736257,0.850387,0.822555,True
all,control,2025-08-01,75836,66601,102,900929,770112,0.878224,0.854798,True
all,control,2025-09-01,73440,64518,102,870573,742536,0.878513,0.852928,True
all,control,2025-10-01,74868,65696,102,887429,755885,0.877491,0.85177,True
all,control,2025-11-01,73133,60396,102,871046,697535,0.825838,0.800802,True
all,control,2025-12-01,75458,60841,102,900368,707519,0.80629,0.785811,True
all,control,2026-01-01,75786,65354,102,907898,759940,0.862349,0.837032,True
all,control,2026-02-01,67327,56143,102,806270,649401,0.833885,0.805439,True
all,control,2026-03-01,67284,53531,102,805648,620506,0.795598,0.770195,True
all,control,2026-04-01,48678,41866,103,582043,481116,0.86006,0.826599,True
all,control,2026-05-01,64678,55035,103,770613,640983,0.850908,0.831783,True
all,treated,2023-01-01,5013,4366,9,59904,50517,0.870936,0.843299,False
all,treated,2023-02-01,5949,5192,9,70988,59900,0.872752,0.843805,False
all,treated,2023-03-01,6687,5830,9,80209,67517,0.871841,0.841763,False
all,treated,2023-04-01,6480,5638,9,77723,65579,0.870062,0.843753,False
all,treated,2023-05-01,4212,3677,9,50412,42519,0.872982,0.84343,False
all,treated,2023-06-01,4869,4248,9,58293,49387,0.872458,0.84722,False
all,treated,2023-07-01,5661,4938,9,67701,57328,0.872284,0.846782,False
all,treated,2023-08-01,6669,5810,9,79889,67522,0.871195,0.845198,False
all,treated,2023-09-01,6357,5537,9,75985,64177,0.871008,0.844601,False
all,treated,2023-10-01,6696,5812,9,80220,67623,0.867981,0.842969,False
all,treated,2023-11-01,6354,5244,9,75982,60530,0.825307,0.796636,False
all,treated,2023-12-01,6696,5830,9,80352,68041,0.870669,0.846787,False
all,treated,2024-01-01,6138,5319,9,73566,61851,0.866569,0.840755,False
all,treated,2024-02-01,3744,3263,9,44759,37821,0.871528,0.844992,False
all,treated,2024-03-01,6453,5624,9,77164,64438,0.871533,0.835079,False
all,treated,2024-04-01,6480,5178,9,77682,59067,0.799074,0.760369,False
