sample,k,coef,se,p_value,ci_low,ci_high,observed_month_min,observed_month_max,observed_month_count,pooled_tail
all,-12,1.3913123346680327,1.9418339690891995,0.475232912377117,-2.4577394678467748,5.240364137182841,-24,-12,13,True
all,-11,1.995201938535834,2.0819666155572083,0.3400390244028232,-2.131617079953598,6.122020957025265,-11,-11,1,False
all,-10,0.3320550123419906,1.5517560967260344,0.8309609831581408,-2.7437947751494556,3.4079047998334366,-10,-10,1,False
all,-9,-1.9642266250946896,0.9796176629391129,0.0474543791718883,-3.905998780352486,-0.022454469836893143,-9,-9,1,False
all,-8,-1.3955167579141794,0.7832740425267426,0.07761771017908775,-2.9481017951739377,0.15706827934557888,-8,-8,1,False
all,-7,0.37701337010173147,0.9450400838080806,0.6907258419746847,-1.496220024685558,2.2502467648890208,-7,-7,1,False
all,-6,-1.140096299974639,0.8926848157708116,0.20428666314704028,-2.909552470746985,0.6293598707977075,-6,-6,1,False
all,-5,0.5631332171762501,0.9829461027179807,0.5679009334049591,-1.3852364831520045,2.511502917504505,-5,-5,1,False
all,-4,-1.608194032313881,0.8417363944555237,0.05871196871570301,-3.2766615933386736,0.06027352871091152,-4,-4,1,False
all,-3,-1.2344539964649188,0.7574541139316164,0.10606955649869221,-2.735859455922519,0.26695146299268124,-3,-3,1,False
all,-2,-0.7530479613730826,0.47242262085938036,0.11385551411001306,-1.6894715533552862,0.1833756306091211,-2,-2,1,False
all,-1,0.0,0.0,,0.0,0.0,-1,-1,1,False
all,0,-0.026197560131284395,1.1737762020924898,0.9822346437364534,-2.3528256232566696,2.300430502994101,0,0,1,False
all,1,1.3722327572145236,1.0943274880060383,0.21256733296094157,-0.7969141715658001,3.5413796859948476,1,1,1,False
all,2,0.45545610312772444,0.9994924028870222,0.6495296704117104,-1.5257112346424546,2.4366234408979035,2,2,1,False
all,3,2.8444878757354792,1.076471923353907,0.009454716743421101,0.7107337737380965,4.978241977732862,3,3,1,False
all,4,3.6461446550343983,1.103159709425855,0.0012886579452307196,1.4594907311570111,5.8327985789117855,4,4,1,False
all,5,3.4815161978213713,1.222762098277773,0.005279478786284684,1.0577895902214527,5.90524280542129,5,5,1,False
all,6,4.102560002552478,1.5617037959664013,0.009866992772268216,1.006992149406856,7.198127855698099,6,6,1,False
all,7,3.358042491291798,1.2984080692418198,0.011032692357224278,0.7843724459278794,5.931712536655716,7,7,1,False
all,8,-0.6084169911409,1.1933636181713962,0.6112082649425652,-2.973870711024409,1.7570367287426087,8,8,1,False
all,9,1.8014266424152985,0.7913204201339596,0.024788753665122346,0.23289228882583357,3.3699609960047634,9,9,1,False
all,10,0.30429648938616516,1.355812301024306,0.8228401741500954,-2.383158702046648,2.9917516808189784,10,10,1,False
all,11,2.3904913359242195,0.617681041481953,0.00018653380706907158,1.1661403543567919,3.614842317491647,11,11,1,False
all,12,-2.463030774297132,2.4043158414131915,0.3079257286827607,-7.228801880643067,2.3027403320488027,12,16,5,True
