sample,k,coef,se,p_value,ci_low,ci_high,observed_month_min,observed_month_max,observed_month_count,pooled_tail
weekend,-12,1.2040847273200252,1.1620056161050385,0.30241758663297064,-1.0992119923780403,3.5073814470180906,-24,-12,13,True
weekend,-11,1.8779892596690102,1.425003546988402,0.19033110331632308,-0.9466149847908567,4.7025935041288776,-11,-11,1,False
weekend,-10,-0.20198134984984573,1.020391351584236,0.8434602096148142,-2.22457402955665,1.8206113298569588,-10,-10,1,False
weekend,-9,-2.3771618243412873,0.8708352960184103,0.007402476162654557,-4.103308456437415,-0.6510151922451595,-9,-9,1,False
weekend,-8,-1.3282148597269217,0.7805453515207482,0.09169819600480893,-2.8753911580304576,0.2189614385766141,-8,-8,1,False
weekend,-7,0.6568578867249648,0.8507319246777838,0.44173607737197657,-1.0294403757746848,2.3431561492246145,-7,-7,1,False
weekend,-6,-0.42432573565047454,1.0276572761201215,0.6804941668563769,-2.4613207383040265,1.6126692670030776,-6,-6,1,False
weekend,-5,1.1496819217598664,0.9859892274757754,0.24617540108203628,-0.8047197797696863,3.1040836232894193,-5,-5,1,False
weekend,-4,-1.710796163444104,1.438233731194261,0.2368468222254483,-4.561624928216101,1.1400326013278936,-4,-4,1,False
weekend,-3,-1.0479473501377303,1.2453793576192074,0.40194493445745244,-3.5165052894693343,1.4206105891938734,-3,-3,1,False
weekend,-2,-1.0397387123700847,0.9883446237790152,0.295147580633369,-2.9988092179946007,0.9193317932544309,-2,-2,1,False
weekend,-1,0.0,0.0,,0.0,0.0,-1,-1,1,False
weekend,0,-0.7065462049067468,0.5840825937017441,0.2290474120172799,-1.8642992342039448,0.45120682439045123,0,0,1,False
weekend,1,0.5021184539753646,1.1787476257204952,0.6709729245379777,-1.8343638332397423,2.8386007411904717,1,1,1,False
weekend,2,-0.7084017523436749,2.2497482250316057,0.7534599667728383,-5.167793028119949,3.750989523432599,2,2,1,False
weekend,3,2.0641246779339393,1.2107768790756546,0.09110798573003853,-0.3358451459719096,4.464094501839789,3,3,1,False
weekend,4,1.745633696999598,1.001840768470355,0.08428047177544938,-0.24018850875897568,3.7314559027581717,4,4,1,False
weekend,5,2.6203533704278272,0.9794576661116624,0.008627915157499095,0.6788983566388167,4.561808384216838,5,5,1,False
weekend,6,4.840719270283255,1.1661004781504745,6.623567466084945e-05,2.5293058236209234,7.152132716945587,6,6,1,False
weekend,7,3.021942377438757,0.9035354376224639,0.0011337867529500358,1.230978391754666,4.812906363122847,7,7,1,False
weekend,8,-2.3362006538507027,2.4247523610413677,0.3374589969295545,-7.142480487494707,2.470079179793301,8,8,1,False
weekend,9,1.125377219543731,1.4814451459674147,0.44911985444632685,-1.8111040657678235,4.0618585048552855,9,9,1,False
weekend,10,-1.1662512003594054,1.1935187086443648,0.33067679586792903,-3.532012336465946,1.1995099357471353,10,10,1,False
weekend,11,1.759117355895067,0.8621574588517334,0.04375335372437156,0.05017170252318803,3.468063009266946,11,11,1,False
weekend,12,-3.2482141286910284,3.4071922933572543,0.34254647784192715,-10.00186034511422,3.5054320877321636,12,16,5,True
