link_id,link_name,borough,treatment_group,analysis_group,hold_out_reason,first_hour,last_hour,link_hours_present,link_hours_usable,months_reporting,availability
4456511,QMT E Manhattan Side - Toll Plaza,manhattan,boundary,boundary,geometry crosses the 60th St line,2023-01-01 00:00:00,2026-05-29 22:00:00,27281,24600,41,0.9017264763021884
4616324,12th ave @ 45th - 11 ave ganservoort st,manhattan,boundary,boundary,geometry crosses the 60th St line,2023-01-01 00:00:00,2026-05-31 23:00:00,28274,10265,41,0.36305439626511987
4616329,FDR N 25th - 63rd St,manhattan,boundary,boundary,geometry crosses the 60th St line,2023-01-01 00:00:00,2026-05-31 23:00:00,28274,27638,41,0.9775058357501591
4616332,FDR S 63rd - 25th St,manhattan,boundary,boundary,geometry crosses the 60th St line,2023-01-01 00:00:00,2026-05-31 23:00:00,28274,28071,41,0.992820258895098
4616346,Westside Hwy S GWB - 57th St,manhattan,boundary,boundary,geometry crosses the 60th St line,2023-01-01 00:00:00,2026-05-31 23:00:00,28274,0,41,0.0
4620343,Westside Hwy N 57th St - GWB,manhattan,boundary,boundary,geometry crosses the 60th St line,2023-01-01 00:00:00,2026-05-31 23:00:00,28228,0,41,0.0
4329483,WSE S TYRELLAN AVENUE - 440 S FRANCIS STREET,staten island,control,control,,2023-07-12 15:00:00,2023-11-06 10:00:00,2670,0,5,0.0
4329499,MLK N WALKER STREET - NJ ROUTE 169,staten island,control,control,,2023-01-01 00:00:00,2026-05-31 23:00:00,28228,13806,41,0.4890888479523877
4362244,CVE NB LIE - WILLETS PT BLVD,queens,control,control,,2023-01-01 00:00:00,2026-05-31 23:00:00,28250,27573,41,0.9760353982300884
4362247,CIP NB GCP - TNB,queens,control,control,,2023-01-01 00:00:00,2023-11-06 10:00:00,3450,3310,7,0.9594202898550724
4362249,LIE WB LITTLE NECK PKWY - NB CIP,queens,control,control,,2023-01-01 00:00:00,2026-05-31 23:00:00,28224,28087,41,0.9951459750566893
4362250,CVE NB GCP - WILLETS PT BLVD,queens,control,control,,2023-01-01 00:00:00,2026-05-31 23:00:00,28251,26978,41,0.9549396481540476
4362251,LIE WB LITTLE NECK PKWY - NB CVE,queens,control,control,,2023-01-01 00:00:00,2026-05-31 23:00:00,28250,28183,41,0.9976283185840708
4362252,CIP N LIE ramp - TNB,queens,control,control,,2023-01-01 00:00:00,2023-11-06 10:00:00,4385,4246,8,0.9683010262257696
4362314,TNB S Qns Anchorage - CIP S @ TNB,queens,control,control,,2023-01-01 00:00:00,2026-05-31 23:00:00,28249,26790,41,0.9483521540585508
4362342,LIE E 84TH ST - 108TH ST,queens,control,control,,2023-01-01 00:00:00,2026-05-31 23:00:00,28250,27498,41,0.9733805309734513
4456450,FDR N - TBB E 116TH STREET - MANHATTAN TRUSS,manhattan,control,control,,2023-01-01 00:00:00,2026-05-29 22:00:00,27281,26533,41,0.9725816502327628
4456452,TBB W - FDR S MANHATTAN TRUSS - E116TH STREET,manhattan,control,control,,2023-01-01 00:00:00,2026-05-31 23:00:00,28274,27552,41,0.974464172030841
4456476,TBB N QUEENS ANCHORAGE - MANHATTAN LIFT SPAN,queens,control,control,,2023-01-01 00:00:00,2026-05-29 22:00:00,27281,27211,41,0.9974341116527986
4456477,MDE S TBB EXIT RAMP - QUEENS ANCHORAGE,queens,control,control,,2023-01-01 00:00:00,2026-05-29 22:00:00,27281,27211,41,0.9974341116527986
4456478,BE S TBB EXIT RAMP - QUEENS ANCHORAGE,queens,control,control,,2023-01-01 00:00:00,2026-05-29 22:00:00,27281,27136,41,0.9946849455665115
4456479,BE S TBB EXIT RAMP - MANHATTAN LIFT SPAN,queens,control,control,,2023-01-01 00:00:00,2026-05-29 22:00:00,27281,27005,41,0.9898830688024632
4456481,TBB S MANHATTAN LIFT SPAN - QUEENS ANCHORAGE,queens,control,control,,2023-01-01 00:00:00,2026-05-29 22:00:00,27281,27212,41,0.9974707672006158
4456483,CIP N ramp to TNB - TNB Queens Anchorage,queens,control,control,,2023-01-01 00:00:00,2026-05-29 22:00:00,27281,23873,41,0.8750778930391114
