is_weekend,hour_of_day,minute_of_hour,entries
False,0,0,889915
False,0,10,812538
False,0,20,750881
False,0,30,698740
False,0,40,654989
False,0,50,613361
False,1,0,572397
False,1,10,529909
False,1,20,495961
False,1,30,465514
False,1,40,432081
False,1,50,403727
False,2,0,376982
False,2,10,355635
False,2,20,340373
False,2,30,337096
False,2,40,331042
False,2,50,322501
False,3,0,314725
False,3,10,313035
False,3,20,321996
False,3,30,342287
False,3,40,368918
False,3,50,389858
False,4,0,418303
False,4,10,475913
False,4,20,556830
False,4,30,674575
False,4,40,871699
False,4,50,935101
False,5,0,682466
False,5,10,776588
False,5,20,953367
False,5,30,1136010
False,5,40,1337555
False,5,50,1442140
False,6,0,1500353
False,6,10,1639523
False,6,20,1783390
False,6,30,1910359
False,6,40,2017967
False,6,50,2023275
False,7,0,1985136
False,7,10,2032618
False,7,20,2109515
False,7,30,2152156
False,7,40,2195189
False,7,50,2198676
False,8,0,2182903
False,8,10,2217625
False,8,20,2247061
False,8,30,2253175
False,8,40,2271854
False,8,50,2246837
False,9,0,2184246
False,9,10,2188291
False,9,20,2177603
False,9,30,2122968
False,9,40,2120483
False,9,50,2097193
False,10,0,2015297
False,10,10,1954325
False,10,20,1943079
False,10,30,1923968
False,10,40,1903023
False,10,50,1882287
False,11,0,1819604
False,11,10,1808708
False,11,20,1820405
False,11,30,1810393
False,11,40,1810046
False,11,50,1800456
False,12,0,1763612
False,12,10,1753911
False,12,20,1767944
False,12,30,1751225
False,12,40,1738687
False,12,50,1745808
False,13,0,1719784
False,13,10,1719034
False,13,20,1744696
False,13,30,1745369
False,13,40,1756207
False,13,50,1776072
False,14,0,1770714
False,14,10,1791944
False,14,20,1823855
False,14,30,1823256
False,14,40,1842032
False,14,50,1840959
False,15,0,1829176
False,15,10,1847623
False,15,20,1874093
False,15,30,1876927
False,15,40,1883675
False,15,50,1890587
False,16,0,1867764
False,16,10,1856296
False,16,20,1876500
False,16,30,1860695
False,16,40,1834351
False,16,50,1845399
False,17,0,1825312
False,17,10,1809193
False,17,20,1835562
False,17,30,1841408
False,17,40,1828429
False,17,50,1841972
False,18,0,1833198
False,18,10,1838582
False,18,20,1864988
False,18,30,1853555
False,18,40,1837508
False,18,50,1821860
False,19,0,1763927
False,19,10,1752129
False,19,20,1754382
False,19,30,1698049
False,19,40,1658944
False,19,50,1633256
False,20,0,1566416
False,20,10,1528230
False,20,20,1507913
False,20,30,1469754
False,20,40,1441647
False,20,50,1429992
False,21,0,1584656
False,21,10,1545664
False,21,20,1543649
False,21,30,1522875
False,21,40,1517143
False,21,50,1498086
False,22,0,1457437
False,22,10,1453592
False,22,20,1467594
False,22,30,1440136
False,22,40,1402973
False,22,50,1348959
False,23,0,1261901
False,23,10,1164120
False,23,20,1138368
False,23,30,1107702
False,23,40,1062961
False,23,50,1072539
True,0,0,505031
True,0,10,494070
True,0,20,474602
True,0,30,458558
True,0,40,444160
True,0,50,432982
True,1,0,418192
True,1,10,398280
True,1,20,387917
True,1,30,371818
True,1,40,352311
True,1,50,340240
True,2,0,315559
True,2,10,300847
True,2,20,290035
True,2,30,278094
True,2,40,263654
True,2,50,253861
True,3,0,245238
True,3,10,234848
True,3,20,229768
True,3,30,225831
True,3,40,219697
True,3,50,213179
True,4,0,209408
True,4,10,212370
True,4,20,216820
True,4,30,224548
True,4,40,233407
True,4,50,228960
True,5,0,216403
True,5,10,226626
True,5,20,252513
True,5,30,282122
True,5,40,306005
True,5,50,310186
True,6,0,313089
True,6,10,348649
True,6,20,397092
True,6,30,441107
True,6,40,466415
True,6,50,441424
True,7,0,411312
True,7,10,421701
True,7,20,449344
True,7,30,479838
True,7,40,503442
True,7,50,499118
True,8,0,488718
True,8,10,509156
True,8,20,545311
True,8,30,580882
True,8,40,613765
True,8,50,602386
True,9,0,544388
True,9,10,548330
True,9,20,580006
True,9,30,607708
True,9,40,633329
True,9,50,631226
True,10,0,623427
True,10,10,638648
True,10,20,657804
True,10,30,674971
True,10,40,691809
True,10,50,691517
True,11,0,679556
True,11,10,694822
True,11,20,708756
True,11,30,718090
True,11,40,729369
True,11,50,728274
True,12,0,715033
True,12,10,717342
True,12,20,728609
True,12,30,732385
True,12,40,737760
True,12,50,740420
True,13,0,735292
True,13,10,735923
True,13,20,745129
True,13,30,746546
True,13,40,743154
True,13,50,743988
True,14,0,742907
True,14,10,749503
True,14,20,755792
True,14,30,761394
True,14,40,764043
True,14,50,757972
True,15,0,753525
True,15,10,751944
True,15,20,759109
True,15,30,762263
True,15,40,762924
True,15,50,760239
True,16,0,757033
True,16,10,751505
True,16,20,759531
True,16,30,761839
True,16,40,757132
True,16,50,752309
True,17,0,745413
True,17,10,744318
True,17,20,749887
True,17,30,752827
True,17,40,751276
True,17,50,746927
True,18,0,743281
True,18,10,739971
True,18,20,742834
True,18,30,738763
True,18,40,735695
True,18,50,728072
True,19,0,709179
True,19,10,702483
True,19,20,700474
True,19,30,686942
True,19,40,674224
True,19,50,665515
True,20,0,649174
True,20,10,634456
True,20,20,629511
True,20,30,617988
True,20,40,606695
True,20,50,598258
True,21,0,642272
True,21,10,630051
True,21,20,623583
True,21,30,618275
True,21,40,612248
True,21,50,607140
True,22,0,598456
True,22,10,594859
True,22,20,594961
True,22,30,591384
True,22,40,578000
True,22,50,556152
True,23,0,528163
True,23,10,500994
True,23,20,485498
True,23,30,470946
True,23,40,454663
True,23,50,462896
