boundary_hour,tau,se,pct_change,n_obs,n_dates,bandwidth_min,poly_order,vehicle_class,sample
5,-0.8615848989572464,0.013198178185012278,-57.750805563451515,60,5,60,1,"1 - Cars, Pickups and Vans",weekday
21,0.2541282170514034,0.018211756526824014,28.933710867249516,60,5,60,1,"1 - Cars, Pickups and Vans",weekday
5,-0.03696194908174776,0.010460593277115158,-3.6287195191449872,60,5,60,1,2 - Single-Unit Trucks,weekday
21,0.02403328124083651,0.020607659131672434,2.4324408110657023,60,5,60,1,2 - Single-Unit Trucks,weekday
5,0.02407318677442005,0.023902365188888,2.43652851383297,60,5,60,1,3 - Multi-Unit Trucks,weekday
21,-0.03647045054687925,0.03170327934361694,-3.5813415338338235,60,5,60,1,3 - Multi-Unit Trucks,weekday
5,0.331803191133871,0.028945426761966243,39.347857258558925,60,5,60,1,4 - Buses,weekday
21,-0.08175447025746804,0.0054142022440553045,-7.8501813865184875,60,5,60,1,4 - Buses,weekday
5,-0.6157575297400788,0.042390512438602104,-45.976850116300376,60,5,60,1,5 - Motorcycles,weekday
21,0.03867994991661094,0.014935082008299835,3.94377582673935,60,5,60,1,5 - Motorcycles,weekday
5,-0.020856819730126593,0.005356748916727313,-2.0640820557166033,60,5,60,1,TLC Taxi/FHV,weekday
21,0.004037140574633745,0.00356970711581741,0.40453008042793975,60,5,60,1,TLC Taxi/FHV,weekday
