boundary_hour,tau,se,pct_change,n_obs,n_dates,bandwidth_min,poly_order,sample,is_toll_boundary,is_placebo
0,-0.15988527695786178,0.008075712684311922,-14.775844489807225,2610,435,30,1,weekday,False,False
1,-0.006592481498407543,0.003208850892623207,-0.6570798766089523,2610,435,30,1,weekday,False,True
2,0.0014326479721972069,0.003301972264843479,0.14336747025591745,2610,435,30,1,weekday,False,True
3,-0.009290508933979253,0.0036250517523217403,-0.924748549548864,2610,435,30,1,weekday,False,True
4,-0.0032464562101123073,0.003406877154758309,-0.3241192169183791,2610,435,30,1,weekday,False,True
5,-0.5180037654096675,0.0054852117674300494,-40.429146419058156,2610,435,30,1,weekday,True,False
6,-0.09406498022677989,0.00212882349190203,-8.977638621779635,2610,435,30,1,weekday,False,True
7,-0.05890544232149996,0.0018199812327542473,-5.720408646472618,2610,435,30,1,weekday,False,True
8,-0.021079118302066463,0.0023699434621716827,-2.0858506507637977,2610,435,30,1,weekday,False,True
9,-0.029047114302112185,0.0025497736711562005,-2.862930206404126,2610,435,30,1,weekday,False,True
10,-0.03956731935219324,0.002326756356387866,-3.879475590184881,2610,435,30,1,weekday,False,True
11,-0.02513452106557239,0.002279901765087964,-2.482127887612873,2610,435,30,1,weekday,False,True
12,-0.020997946182634626,0.0023557247622089323,-2.077902429156122,2610,435,30,1,weekday,False,True
13,-0.013833288037517766,0.0022926336277712574,-1.3738047776329005,2610,435,30,1,weekday,False,True
14,-0.011676563750760262,0.0021850785307498135,-1.1608657242120568,2610,435,30,1,weekday,False,True
15,-0.013830625533211386,0.002035801598768314,-1.3735421846138218,2610,435,30,1,weekday,False,True
16,-0.018492862021157293,0.0018867833477933858,-1.8322918242977093,2610,435,30,1,weekday,False,True
17,-0.007208459234930823,0.0019041974953430939,-0.7182540607841512,2610,435,30,1,weekday,False,True
18,-0.0042425024585920025,0.001814701328685056,-0.4233515758227673,2610,435,30,1,weekday,False,True
19,-0.024708699640371142,0.002005533627981834,-2.4405938459125607,2610,435,30,1,weekday,False,True
20,-0.023568479778021026,0.0020109412960037853,-2.3292912305889493,2610,435,30,1,weekday,False,True
21,0.11570493907832054,0.0025036869852740552,12.26645688159156,2610,435,30,1,weekday,True,False
22,-0.0229228059370879,0.0025105194068055516,-2.266207445327786,2610,435,30,1,weekday,False,True
23,-0.04729453756690827,0.0027162260925706256,-4.619357560972035,2610,435,30,1,weekday,False,True
0,0.16209233042073723,0.032308970021744036,17.596881400401266,1044,174,30,1,weekend,False,False
1,-0.011614752870372776,0.005161340336782771,-1.1547562014901895,1044,174,30,1,weekend,False,True
2,-0.10112527876447325,0.06123330497826963,-9.618020363444863,1044,174,30,1,weekend,False,True
3,0.0802418195323583,0.061597218347461444,8.354905932314574,1044,174,30,1,weekend,False,True
4,0.009592640583184849,0.004555494768741504,0.9638797430490329,1044,174,30,1,weekend,False,True
5,-0.08568201352941464,0.004183640714989043,-8.211393983246436,1044,174,30,1,weekend,False,True
6,-0.05186440072978458,0.0042164912199529,-5.0542396127445715,1044,174,30,1,weekend,False,True
7,-0.09708294676813291,0.004368787090634334,-9.251926958235389,1044,174,30,1,weekend,False,True
8,-0.055807464959238565,0.003447189042750267,-5.427879716696286,1044,174,30,1,weekend,False,True
9,-0.14128419637471795,0.0039847234410689165,-13.175747474663044,1044,174,30,1,weekend,True,False
10,-0.04009295817937111,0.0033821944552661232,-3.9299869933630056,1044,174,30,1,weekend,False,True
11,-0.03395882265774893,0.002894083850543176,-3.3388693697378993,1044,174,30,1,weekend,False,True
12,-0.03053531593971858,0.002559582571962051,-3.0073822392069993,1044,174,30,1,weekend,False,True
13,-0.015142480534941102,0.002429071314496605,-1.5028409674311356,1044,174,30,1,weekend,False,True
14,0.0017327090238057998,0.0025820992886295803,0.1734211031475193,1044,174,30,1,weekend,False,True
15,-0.006733242574273265,0.002502322441613688,-0.6710625087969009,1044,174,30,1,weekend,False,True
16,-0.006758285307236727,0.0026371222749849254,-0.6735499457077982,1044,174,30,1,weekend,False,True
17,-0.004928114610222796,0.0026112483920724626,-0.4915991376488033,1044,174,30,1,weekend,False,True
18,-0.003406254523065287,0.002529594253127181,-0.3400459819406356,1044,174,30,1,weekend,False,True
19,-0.020821698915955058,0.0025277089418088462,-2.0606424061404702,1044,174,30,1,weekend,False,True
20,-0.012831069519810964,0.003223870475960166,-1.2749102297543053,1044,174,30,1,weekend,False,True
21,0.0886021265048672,0.004267848262880232,9.264583501280962,1044,174,30,1,weekend,True,False
22,-0.005264098087861988,0.0030219562600745085,-0.5250267003560116,1044,174,30,1,weekend,False,True
23,-0.030047846167668618,0.003923532666401147,-2.960089744042195,1044,174,30,1,weekend,False,True
0,-0.23831026149293047,0.010617671362473428,-21.204181991676315,2610,435,30,2,weekday,False,False
1,-0.0035799648844371066,0.0072589984461283955,-0.3573564450204841,2610,435,30,2,weekday,False,True
2,-0.01194161604761929,0.008425364666760434,-1.1870597922191175,2610,435,30,2,weekday,False,True
3,0.010127584181658888,0.009328286383634494,1.0179041729178158,2610,435,30,2,weekday,False,True
4,0.039972912882499816,0.00875175476158529,4.078258201047641,2610,435,30,2,weekday,False,True
