boundary_hour,tau_exempt,tau_exempt_se,delta,se,ci_low,ci_high,delta_pct,n_obs,n_dates,tau_tolled,is_toll_boundary
0,0.2431537923739859,0.0237434129195355,-0.7468894642898021,0.025391235741539273,-0.7966562863432191,-0.6971226422363851,-52.6161846681839,41898,435,-0.5037356719158141,False
1,0.0019057853410375588,0.018536315947902695,-0.10481242207662171,0.016352992798501668,-0.13686428796168498,-0.07276055619155844,-9.950658056925667,42044,435,-0.10290663673559715,False
2,0.040902904195621176,0.01990672636980411,-0.07361891778720123,0.018849194178464736,-0.11056333837699212,-0.036674497197410345,-7.097433845354573,41840,435,-0.03271601359157601,False
3,0.019336671319996755,0.021551586411043065,-0.03531404481201703,0.019956482509561065,-0.07442875053075672,0.0038006609067226527,-3.46977795028451,41778,435,-0.015977373492022287,False
4,0.1670500271356198,0.019050302702201243,-0.12356869277706287,0.018924184787872573,-0.1606600949612931,-0.08647729059283263,-11.623906883369111,41824,435,0.04348133435856668,False
5,0.07005277290970853,0.017889806251890624,-0.7589037432370919,0.01822452407113787,-0.7946238104165221,-0.7231836760576617,-53.182060938815965,41836,435,-0.6888509703273514,True
6,0.041540257210649745,0.013219167770639823,-0.21780258661802734,0.014444827708394403,-0.24611444892648038,-0.1894907243095743,-19.571579754023375,41698,435,-0.17626232940736075,False
7,0.004593780258140662,0.009648851602268598,-0.19425457342944824,0.011685475506286083,-0.21715810542176897,-0.1713510414371275,-17.65517504614109,41588,435,-0.18966079317130705,False
8,0.09482337813896584,0.008323936678312783,-0.16076560966895034,0.009917581678140996,-0.1802040697581067,-0.14132714957979398,-14.850837087616092,41828,435,-0.06594223152998295,False
9,0.0255737136150333,0.00990125982786505,-0.07647433596942897,0.01123388270887613,-0.09849274607882619,-0.054455925860031756,-7.362331145659573,41758,435,-0.05090062235439629,False
10,-0.038691362752040805,0.0091341779752146,-0.030526015883270766,0.009889966544876123,-0.049910350311227966,-0.011141681455313565,-3.0064801981922926,41730,435,-0.06921737863531414,False
11,0.020263628365255793,0.00955106064975751,-0.05244942032608877,0.009710268888213577,-0.07148154734698738,-0.033417293305190165,-5.109768498830137,41938,435,-0.032185791960831635,False
12,0.031556184824396885,0.010193550108457567,-0.06732763407864395,0.010330784002877687,-0.08757597072428422,-0.04707929743300368,-6.511115029300826,41940,435,-0.035771449254248584,False
13,0.015211005080043272,0.010037383806583283,-0.03865635904446871,0.010387159676013518,-0.0590151920094552,-0.018297526079482214,-3.791873712831321,41836,435,-0.02344535396442536,False
14,0.003248715384929344,0.009294066921763858,-0.020070435020391963,0.009305091651951706,-0.038308414658217306,-0.001832455382566621,-1.9870364575416375,41714,435,-0.016821719635461436,False
15,0.010906141872774592,0.008103201436135016,-0.03975345840249258,0.008180533924198308,-0.055787304893921266,-0.023719611911063896,-3.8973657082363515,41624,435,-0.02884731652971616,False
16,-0.025146106019946834,0.01116289041242418,-0.0021356491779479514,0.009737809492525264,-0.021221755783297467,0.016950457427401564,-0.21333703018243028,41594,435,-0.027281755197894997,False
17,0.0434792253522161,0.009305120929932647,-0.013772297247683576,0.008407962886878194,-0.030251904505964836,0.002707310010597685,-1.367789304645588,41544,435,0.029706928104533285,False
18,0.0014332402243822622,0.009984246344169287,0.013998857766207184,0.010197123384282924,-0.005987504066987347,0.03398521959940172,1.4097300601624851,41708,435,0.015432097990589623,False
19,0.05774387867092512,0.010838374462437806,-0.07344986421424529,0.009366880394288563,-0.09180894978705087,-0.055090778641439714,-7.0817270069981895,41878,435,-0.015705985543322594,False
20,-0.020536421090194396,0.011674684331480598,-0.040628796896049604,0.010847198635940481,-0.061889306222492946,-0.01936828756960626,-3.9814512363454297,41764,435,-0.06116521798624555,False
21,0.05551393114001251,0.01284273627449358,0.07097212554716614,0.01182793203732784,0.047789378754003575,0.09415487234032871,7.355130079618803,41758,435,0.126486056687178,True
22,0.05899505481145751,0.013734284095665003,-0.08094617364424589,0.013589242522979982,-0.10758108898928666,-0.05431125829920512,-7.775666889373298,41820,435,-0.021951118832786064,False
23,0.05353202423146971,0.017335338587466418,-0.2400911150783779,0.014012041127849331,-0.2675547156889626,-0.2126275144677932,-21.344380932748557,41776,435,-0.1865590908469065,False
