k,beta,se
-24,0.0014199599440530535,0.01971177116815538
-23,0.031517615902946834,0.015576604517757019
-22,0.02113683539641273,0.017537230855395547
-21,-0.0011784973622725437,0.020187025687867274
-20,-0.04305724906070907,0.023117054937141626
-19,-0.04729309943166848,0.0246114501654711
-18,-0.10306698574411007,0.046716533784034606
-17,-0.05606389961984189,0.030377655805324737
-16,-0.004530154011355267,0.022989658544759647
-15,0.03056758257432719,0.01675141261411954
-14,0.007143948785591579,0.013089023883295775
-13,0.005511697927544077,0.006532056299606152
-12,0.01568922814499208,0.014961837761264302
-11,0.024827037676221353,0.014280562541533537
-10,0.013003804433324972,0.009667572229155973
-9,-0.011430650372870587,0.019887913726586624
-8,-0.022524192534572798,0.01974184002646308
-7,-0.08272706612798256,0.03746609446828133
-6,-0.11091307564881756,0.040764152546137626
-5,-0.09399321081471267,0.03170534396451398
-4,-0.03844593630544261,0.018068822251964798
-3,-0.009200531993894482,0.022362861037334026
-2,-0.009668498620708853,0.013223034249390283
1,-0.034643883506471095,0.01607946120248283
2,-0.05702601216663654,0.013396660979733818
3,-0.06071956817092554,0.026002623500162914
4,-0.05919882697224604,0.03108304553698927
5,-0.10035632775752952,0.04087795457362703
6,-0.12216770296335584,0.04636055419998237
7,-0.09880237909346423,0.03923134513146333
8,-0.03152912526046592,0.029710211750502778
9,-0.010722549333046553,0.025276143370347247
10,-0.009035894539023467,0.01413721886781438
11,-0.01861634264362969,0.006031544368583057
12,-0.029155159266063057,0.0220219054677003
13,-0.019667596207510147,0.01666123539709559
14,-0.03280932157891069,0.01073925915839487
15,-0.05934064876649549,0.01337292444703618
16,-0.07960733172251995,0.022336384884122318
17,-0.12321637830057029,0.03125503061026228
18,-0.13640408452134983,0.04287469986149793
19,-0.16473823421545739,0.04867118594440108
20,-0.03591506983897739,0.018070643980632586
