sid,link_name,borough,treatment_group,signed_min_distance_m,signed_max_distance_m,nearest_boundary_line_m,wholly_north_of_boundary,geometry_source,metric,polyline
193055,2nd Avenue - Southbound - 72nd St to 57th St,Manhattan,boundary,-392.01704234692244,813.1813936007453,0.0,False,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,_tywFb_lbMjz@zi@
51052,Broadway - Southbound - 72nd St to 57th St,Manhattan,boundary,-353.1129051675712,870.3998429850948,0.0,False,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,mr{wFzrpbMhDVxSXpH?hNKrIIvAAd@HPN\Ff@QTe@Bg@^[PIf@D`Eb@
22016,5th Avenue - Southbound - 72nd St to 57th St,Manhattan,boundary,-372.19544604161024,835.1553267743737,0.0,False,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,yjzwF|tmbM|NrJtRhMtVlP
21003,Lexington Avenue - Southbound - 72nd St to 57th St,Manhattan,boundary,-382.39959733719377,824.759928679284,0.0,False,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,e~ywFzvlbMbOrJrNjJxFtDxRnM
43058,9th Avenue - Southbound - 72nd St to 57th St,Manhattan,boundary,-344.289620597799,862.2767161916418,0.0,False,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,yi{wFn~obMtZhStJrG~BtAxB|AbKtG
77081,57th Street - Westbound - 10th Ave (Amsterdam Ave) to 11th Ave,Manhattan,treated,-329.55713405567025,-321.7127737837455,321.7127737837455,False,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,kvywFd{qbMqFvP
58077,57th Street - Westbound - 9th Ave (Columbus Ave) to 10th Ave (Amsterdam Ave),Manhattan,treated,-334.6462438188285,-329.55713405567025,329.55713405567025,False,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,}nywFhiqbMmFzP
81116,11th Avenue - Southbound - 57th St to 49th St,Manhattan,exempt_in_zone,-975.0928793655073,-332.9347470312978,332.9347470312978,False,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,k}ywFhmrbMn^dV
54058,57th Street - Westbound - 8th Ave to 9th Ave,Manhattan,treated,-341.89741486163433,-334.44527260421773,334.44527260421773,False,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,mgywFrwpbMqFxP
85077,10th Avenue - Northbound - 49th St to 57th St,Manhattan,treated,-981.7605855951232,-337.4306675670281,337.4306675670281,False,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,ivxwFprrbMu^aV
81077,57th Street - Eastbound - 11th Ave to 10th Ave (Amsterdam Ave),Manhattan,treated,-347.2750155605673,-340.8082805430468,340.8082805430468,False,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,_}ywFrmrbMnFyP
52054,57th Street - Westbound - Broadway to 8th Ave,Manhattan,treated,-343.06758596024576,-340.9120076213471,340.9120076213471,False,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,_eywFtqpbMoA|D
