k,coef,se,p_value,ci_low,ci_high,observed_week_min,observed_week_max,observed_week_count,pooled_tail
-12,-0.1508168931308009,0.3447135734898413,0.6620224983682914,-0.828907598176067,0.5272738119144651,-105,-12,94,True
-11,0.20060851493733736,0.28615147424743304,0.4837569915025411,-0.36228389732765987,0.7635009272023345,-11,-11,1,False
-10,0.35834424705795986,0.26991238626663844,0.1852091882775587,-0.1726040369073909,0.8892925310233106,-10,-10,1,False
-9,0.5616250287710093,0.2604243218160075,0.03175411257062533,0.04934084395240379,1.0739092135896149,-9,-9,1,False
-8,0.49494156101149706,0.27300655197241613,0.07074302543919425,-0.04209329791438249,1.0319764199373767,-8,-8,1,False
-7,0.7294454487183053,0.2578274981679793,0.004949387895838197,0.22226951061172429,1.2366213868248863,-7,-7,1,False
-6,1.053088740852293,0.2796485618424897,0.00019626323883677958,0.5029882950099513,1.6031891866946348,-6,-6,1,False
-5,0.34728600354875694,0.34462808391334615,0.31432420479597434,-0.3306365338011883,1.0252085408987022,-5,-5,1,False
-4,0.012699109991350288,0.34491887656119974,0.9706524444032666,-0.6657954494858607,0.6911936694685612,-4,-4,1,False
-3,0.40998889230230295,0.2787263803193026,0.142252503380058,-0.1382975178671555,0.9582753024717614,-3,-3,1,False
-2,0.8293042980650439,0.2530050181967235,0.001156501070020431,0.3316147251475954,1.3269938709824924,-2,-2,1,False
-1,0.0,0.0,,0.0,0.0,-1,-1,1,False
0,0.6312093073598766,0.1814372024923838,0.0005703042502661373,0.2743017469352884,0.9881168677844647,0,0,1,False
1,0.7882575020737091,0.23879457651717542,0.0010678978751232403,0.3185214800418145,1.2579935241056037,1,1,1,False
2,0.9912650930562302,0.24927422078380973,8.578579248776835e-05,0.5009144218898562,1.4816157642226042,2,2,1,False
3,0.660301057654777,0.2634480299184294,0.012673657691851213,0.142068895974498,1.178533219335056,3,3,1,False
4,1.1851068925929722,0.30840911062754195,0.00014575121343091648,0.5784311845533628,1.7917826006325814,4,4,1,False
5,1.3115623345142244,0.343971516212671,0.00016356643539924452,0.6349313403157527,1.988193328712696,5,5,1,False
6,1.2731074885183467,0.41371329031813375,0.0022623731312098067,0.45928651280707966,2.0869284642296138,6,6,1,False
7,1.6926989213459491,0.4522757957138412,0.0002144384598395711,0.8030211228024424,2.5823767198894556,7,7,1,False
8,1.4349597939128644,0.3743112053465556,0.0001509814262738431,0.698647189305581,2.1712723985201476,8,8,1,False
9,0.8998031315843809,0.38002003976003157,0.018466207255369606,0.1522606020477425,1.6473456611210193,9,9,1,False
10,1.1011108592171244,0.3653429822134181,0.0027768958821326934,0.38243976691173953,1.819781951522509,10,10,1,False
11,1.4895610595847244,0.4238610606424005,0.0005019439784114885,0.6557782684330155,2.3233438507364332,11,11,1,False
12,0.9211094063728342,0.3756555270239565,0.014719189628133731,0.18215236851968886,1.6600664442259796,12,86,69,True
