k,coef,se,p_value,ci_low,ci_high,observed_week_min,observed_week_max,observed_week_count,pooled_tail
-12,-0.1994658640806155,0.34327266211045104,0.5615855242454761,-0.8747221329785992,0.47579040481736823,-105,-12,94,True
-11,0.15092873871442888,0.29186612991989624,0.6054182581675297,-0.4232050495567432,0.725062526985601,-11,-11,1,False
-10,0.30772474535128436,0.2632878155763242,0.24332948822671638,-0.21019225654257645,0.8256417472451452,-10,-10,1,False
-9,0.5040039289413321,0.26424344395699734,0.05733581807580086,-0.015792902388461982,1.023800760271126,-9,-9,1,False
-8,0.49782563593253515,0.28063211112629827,0.07698617629514888,-0.0542095629296907,1.049860834794761,-8,-8,1,False
-7,0.6133978561321912,0.2533472893634084,0.016004522143796406,0.11503499700096131,1.1117607152634212,-7,-7,1,False
-6,1.1966246714833422,0.288768633441832,4.335175988657616e-05,0.6285840101796456,1.7646653327870387,-6,-6,1,False
-5,0.28530687246125097,0.3495884151994428,0.4150136419219066,-0.4023731992526449,0.9729869441751469,-5,-5,1,False
-4,0.15010034342640177,0.3410948091951929,0.6601830354756656,-0.5208718417210018,0.8210725285738053,-4,-4,1,False
-3,0.3630214041686144,0.2919729814876135,0.21461756683890854,-0.21132257325802117,0.93736538159525,-3,-3,1,False
-2,0.9342249661631502,0.2716222286439802,0.0006570414309573116,0.399913228268701,1.4685367040575994,-2,-2,1,False
-1,0.0,0.0,,0.0,0.0,-1,-1,1,False
0,0.5925619896198359,0.21324898107571535,0.005766791907928129,0.17307705183835959,1.0120469274013122,0,0,1,False
1,0.46116753789880965,0.2636236674318176,0.08115342709352083,-0.0574101226954809,0.9797451984931003,1,1,1,False
2,0.8483404379433271,0.2628372244579117,0.0013723462965207645,0.3313097998966401,1.3653710759900142,2,2,1,False
3,0.4117117840074333,0.2943361099096202,0.16280930501736454,-0.16728073511011493,0.9907043031249816,3,3,1,False
4,0.9878083688264103,0.3221825518803164,0.00234701982040824,0.3540387393161727,1.6215779983366478,4,4,1,False
5,1.1694881458489117,0.3349662056886571,0.000545332910597792,0.5105716190575672,1.8284046726402563,5,5,1,False
6,1.282566672313872,0.438471792217166,0.00367987394589972,0.4200429146418765,2.1450904299858675,6,6,1,False
7,1.381151624580204,0.4685404820028736,0.0034266918686042137,0.4594793429607499,2.302823906199658,7,7,1,False
8,1.2568765907878077,0.37112411075435703,0.0007921265333262324,0.5268333628029495,1.986919818772666,8,8,1,False
9,0.5327073035179072,0.3870504422528272,0.16964573055857993,-0.228664825285243,1.2940794323210574,9,9,1,False
10,1.0341838614785406,0.3609123080418764,0.004428518678775544,0.3242284079058878,1.7441393150511932,10,10,1,False
11,1.2336644626723836,0.4435930198974916,0.005726344756856674,0.3610666691761165,2.106262256168651,11,11,1,False
12,0.7899830471848338,0.3757718609918684,0.036278002782880986,0.05079716721931249,1.529168927150355,12,86,69,True
