k,coef,se,p_value,ci_low,ci_high,observed_week_min,observed_week_max,observed_week_count,pooled_tail
-12,-0.38816111001489384,0.3968258008110954,0.3287028019268618,-1.168762478066558,0.3924402580367704,-105,-12,94,True
-11,0.22880599920199857,0.37679713362115747,0.5441059939481385,-0.5123967083372671,0.9700087067412642,-11,-11,1,False
-10,0.6036069891343347,0.34314287657984593,0.07948664564870113,-0.07139397690144444,1.278607955170114,-10,-10,1,False
-9,0.6615071351529979,0.3367326218308868,0.050304814088943696,-0.000884132580983743,1.3238984028869796,-9,-9,1,False
-8,0.64000402816445,0.35046423719159203,0.06872134171663109,-0.04939888476552623,1.3294069410944263,-8,-8,1,False
-7,1.0624794062467975,0.35020553952626493,0.002604222233429154,0.37358538097244587,1.751373431521149,-7,-7,1,False
-6,1.0449616926460918,0.3625237469751898,0.004202101648439487,0.3318363558821117,1.7580870294100719,-6,-6,1,False
-5,0.40253428504292743,0.4118492380917386,0.32908926569988933,-0.40761988847183506,1.21268845855769,-5,-5,1,False
-4,0.2257752372556188,0.39356015865197325,0.5665756525563952,-0.5484022421986621,0.9999527167098996,-4,-4,1,False
-3,0.5933589049696876,0.3453833547077967,0.08673131818719683,-0.0860493357145482,1.2727671456539233,-3,-3,1,False
-2,0.4878638183242733,0.3469370850502558,0.16059642486182948,-0.19460078620633525,1.1703284228548818,-2,-2,1,False
-1,0.0,0.0,,0.0,0.0,-1,-1,1,False
0,0.8332195644743464,0.27526592677955336,0.002662854117745994,0.291740258988319,1.374698869960374,0,0,1,False
1,0.9674284891277396,0.326564054630167,0.0032715705944192093,0.32503994664948244,1.6098170316059968,1,1,1,False
2,0.6435107932029606,0.2821378230058073,0.023189253894596272,0.08851368825843353,1.1985078981474877,2,2,1,False
3,0.5886881162225649,0.3232411708924352,0.06947303783033605,-0.04716393697941956,1.2245401694245492,3,3,1,False
4,1.0986544141254597,0.38616602546836676,0.004715553206971154,0.3390220334699011,1.8582867947810184,4,4,1,False
5,0.7975149824255379,0.6604195255087839,0.22806259556580524,-0.501605145465535,2.096635110316611,5,5,1,False
6,0.21953316933431125,0.455195199439981,0.6299213609033563,-0.6758874275299244,1.114953766198547,6,6,1,False
7,1.749573649420848,0.49981283107056024,0.0005276987047614938,0.7663851094972973,2.732762189344399,7,7,1,False
8,1.4190347560372016,0.46021268966003026,0.0022173257765381415,0.5137441867015421,2.324325325372861,8,8,1,False
9,0.8649595407888621,0.520793289709255,0.09768477811791552,-0.15949994140266066,1.8894190229803849,9,9,1,False
10,0.9655074604069747,0.49243235679280606,0.050748415737712375,-0.003162849335198392,1.9341777701491476,10,10,1,False
11,1.5476828526957267,0.49864880527949057,0.002074568736286422,0.5667840835559788,2.5285816218354746,11,11,1,False
12,0.6274183976505465,0.42839287070818555,0.14397720249727158,-0.21527897801122087,1.470115773312314,12,86,69,True
