k,coef,se,p_value,ci_low,ci_high,observed_week_min,observed_week_max,observed_week_count,pooled_tail
-12,0.09436286115092234,0.36045631143601725,0.7936473329058954,-0.6146955953675243,0.8034213176693689,-105,-12,94,True
-11,0.25428114881358527,0.3010227217590848,0.3988713767432297,-0.3378646943737536,0.8464269920009242,-11,-11,1,False
-10,0.30011085250980246,0.32249962038338026,0.352746343232672,-0.3342824867157607,0.9345041917353656,-10,-10,1,False
-9,0.5915504585442731,0.2882679609943416,0.040942853183964525,0.02449467674351702,1.1586062403450292,-9,-9,1,False
-8,0.3903756782418993,0.2780841955838732,0.16130912933507036,-0.15664748170039783,0.9373988381841964,-8,-8,1,False
-7,0.7081654255952483,0.2987276638726376,0.018327959624860373,0.12053422163312277,1.295796629557374,-7,-7,1,False
-6,0.7946260308209531,0.29331080584927205,0.007094199205604987,0.21765040110560807,1.3716016605362982,-6,-6,1,False
-5,0.42188371236877764,0.3558760275507344,0.2366731978035848,-0.27816480613755157,1.1219322308751067,-5,-5,1,False
-4,-0.39389692676577637,0.4356799286191247,0.3665975412602201,-1.2509287720177875,0.4631349184862349,-4,-4,1,False
-3,0.37398297252486873,0.29801343031923067,0.21038785162438567,-0.21224325301156405,0.9602091980613014,-3,-3,1,False
-2,0.8699653828460322,0.33607250651812565,0.010058503272493169,0.20887263681895574,1.5310581288731087,-2,-2,1,False
-1,0.0,0.0,,0.0,0.0,-1,-1,1,False
0,0.5624901110726322,0.19180639656445095,0.003594252364237136,0.18518516957628767,0.9397950525689769,0,0,1,False
1,1.2693243289422431,0.25267225058048637,8.287999818006354e-07,0.7722893476767161,1.7663593102077702,1,1,1,False
2,1.6738670308423826,0.2995922619225475,4.8044484623859365e-08,1.0845350644318603,2.263198997252905,2,2,1,False
3,1.280139138236789,0.282185241043181,7.993967230880819e-06,0.7250487566334143,1.8352295198401638,3,3,1,False
4,1.588650492656102,0.31207736875940695,5.982775471521633e-07,0.9747589047260025,2.2025420805862015,4,4,1,False
5,1.8979699354907922,0.35117214063362673,1.239830300944732e-07,1.207174496182311,2.5887653747992734,5,5,1,False
6,1.9133175145220107,0.40107177507193514,2.7536452255272503e-06,1.1243638334152246,2.702271195628797,6,6,1,False
7,2.204690650650552,0.4559938134775665,2.0382317880778757e-06,1.3076990893757103,3.1016822119253935,7,7,1,False
8,1.7463081100026454,0.3946812263509616,1.3107188730429176e-05,0.9699253632050615,2.5226908568002293,8,8,1,False
9,1.6388416955457668,0.4053261876259602,6.553672367418634e-05,0.8415191023038824,2.4361642887876513,9,9,1,False
10,1.3233138865596745,0.3713043087263983,0.00041868335179108784,0.5929161887212734,2.0537115843980756,10,10,1,False
11,1.887394857793366,0.4172354536022532,8.468916954762805e-06,1.066645387330837,2.708144328255895,11,11,1,False
12,1.3615259269591795,0.386172753802016,0.0004815330586495563,0.6018803109080378,2.121171543010321,12,86,69,True
