treatment_group,post,hour,median_mph
control,False,0,19.707954545454545
control,False,1,21.402272727272727
control,False,2,22.902272727272724
control,False,3,23.948863636363633
control,False,4,24.31704545454545
control,False,5,23.161363636363635
control,False,6,20.638636363636365
control,False,7,17.355681818181814
control,False,8,16.21363636363636
control,False,9,16.51022727272727
control,False,10,16.148863636363636
control,False,11,15.29659090909091
control,False,12,14.860227272727272
control,False,13,14.798863636363635
control,False,14,14.239772727272726
control,False,15,14.065909090909091
control,False,16,14.06590909090909
control,False,17,14.02840909090909
control,False,18,14.584090909090907
control,False,19,15.821590909090908
control,False,20,16.782954545454544
control,False,21,17.035227272727273
control,False,22,18.095454545454544
control,False,23,18.9375
control,True,0,17.35909090909091
control,True,1,18.654545454545453
control,True,2,19.95340909090909
control,True,3,21.652840909090905
control,True,4,21.94772727272727
control,True,5,19.605681818181814
control,True,6,17.529545454545453
control,True,7,14.880681818181817
control,True,8,13.452272727272728
control,True,9,13.557954545454544
control,True,10,13.65340909090909
control,True,11,13.373863636363636
control,True,12,12.974999999999998
control,True,13,12.893181818181816
control,True,14,12.19772727272727
control,True,15,12.064772727272727
control,True,16,12.23181818181818
control,True,17,12.197727272727272
control,True,18,12.611931818181816
control,True,19,13.58522727272727
control,True,20,14.307954545454546
control,True,21,14.878977272727273
control,True,22,15.630681818181817
control,True,23,16.387499999999996
treated,False,0,10.298863636363635
treated,False,1,11.836363636363636
treated,False,2,13.247727272727271
treated,False,3,14.55681818181818
treated,False,4,15.436363636363634
treated,False,5,15.252272727272725
treated,False,6,13.05681818181818
treated,False,7,10.585227272727272
treated,False,8,8.659090909090908
treated,False,9,7.435227272727273
treated,False,10,6.971590909090909
treated,False,11,6.712499999999999
treated,False,12,6.409090909090909
treated,False,13,6.381818181818181
treated,False,14,6.405681818181818
treated,False,15,6.344318181818181
treated,False,16,6.395454545454545
treated,False,17,6.276136363636363
treated,False,18,6.559090909090909
treated,False,19,7.104545454545454
treated,False,20,7.752272727272727
treated,False,21,8.188636363636363
treated,False,22,8.464772727272727
treated,False,23,8.894318181818182
treated,True,0,10.511931818181818
treated,True,1,11.938636363636363
treated,True,2,13.714772727272727
treated,True,3,15.085227272727273
treated,True,4,15.974999999999998
treated,True,5,15.712499999999999
treated,True,6,13.411363636363635
treated,True,7,10.575
treated,True,8,8.652272727272727
treated,True,9,7.298863636363636
treated,True,10,6.75340909090909
treated,True,11,6.432954545454544
treated,True,12,6.129545454545454
treated,True,13,6.204545454545454
treated,True,14,6.289772727272727
treated,True,15,6.4022727272727264
treated,True,16,6.334090909090909
treated,True,17,6.204545454545453
treated,True,18,6.473863636363636
treated,True,19,6.964772727272727
treated,True,20,7.598863636363636
treated,True,21,7.997727272727272
treated,True,22,8.14090909090909
treated,True,23,9.013636363636362
