specification,description,interpretation,outcome,treatment_date,panel_start,panel_end,pre_observations,post_observations,treated_links,control_links,reassigned_links,run_at,beta_mph,se_mph,t,p_value,ci_low,ci_high,pct_of_pre_treated_mean,pre_treated_mean_mph,n_obs,n_links,n_periods,n_clusters,status
contiguous_baseline,October 2024-April 2025; all candidate controls,exploratory association; unverified source; controls unapproved,median_speed_mph,2025-01-05,2024-10-01 00:00:00,2025-04-30 23:00:00,601924,714088,148,175,0,2026-09-14T22:39:40+00:00,0.8485664221246507,0.23889374941459127,3.5520662395063134,0.00043930964771038417,0.37857675323392964,1.3185560910153717,8.939299050916391,9.49253870232322,1316012,323,5054,323,estimated
all_available,"All available months, including isolated June 2024",exploratory association; unverified source; controls unapproved,median_speed_mph,2025-01-05,2023-01-01 00:00:00,2026-08-31 23:00:00,4887906,3064077,148,186,0,2026-09-14T22:39:43+00:00,1.0482468197572552,0.2656664139547268,3.9457257850286296,9.706117780864423e-05,0.5256508450132635,1.5708427945012469,10.611974611971938,9.87796200129118,7951983,334,30635,334,estimated
manhattan_controls,Manhattan candidate controls only; treated unchanged,exploratory association; unverified source; controls unapproved,median_speed_mph,2025-01-05,2024-10-01 00:00:00,2025-04-30 23:00:00,312741,363736,148,15,0,2026-09-14T22:39:46+00:00,0.4759000169947537,0.23977693270411224,1.9847614682018655,0.04885944455211622,0.0024087228835567576,0.9493913111059507,5.013411395186424,9.49253870232322,676477,163,5054,163,estimated
outer_borough_controls,Outer-borough candidate controls only; treated unchanged,exploratory association; unverified source; controls unapproved,median_speed_mph,2025-01-05,2024-10-01 00:00:00,2025-04-30 23:00:00,575412,686265,148,160,0,2026-09-14T22:39:47+00:00,0.8806563384692478,0.2508953519616393,3.5100544174445125,0.0005151285229067258,0.38696421331506575,1.37434846362343,9.277353151625439,9.49253870232322,1261677,308,5054,308,estimated
drop_transition,"Exclude [treatment-14 days, treatment+14 days)",exploratory association; unverified source; controls unapproved,median_speed_mph,2025-01-05,2024-10-01 00:00:00,2025-04-30 23:00:00,516502,625463,148,175,0,2026-09-14T22:39:49+00:00,0.9089495325823561,0.2664952712460989,3.410752950070073,0.0007303640291385544,0.38465777274844715,1.4332412924162652,9.665911685144614,9.403660639474973,1141965,323,4382,323,estimated
quality,Keep hours with at least 3 readings and every reading >=4 probes,exploratory association; unverified source; controls unapproved,median_speed_mph,2025-01-05,2024-10-01 00:00:00,2025-04-30 23:00:00,452532,546427,148,173,0,2026-09-14T22:39:50+00:00,0.9627844694728397,0.18274594265177588,5.268431438214935,2.532801368114406e-07,0.6032491929674815,1.322319745978198,9.694674374397033,9.931065575709145,998959,321,5022,321,estimated
no_extreme_readings,Keep hours with zero readings exceeding 80 mph,exploratory association; unverified source; controls unapproved,median_speed_mph,2025-01-05,2024-10-01 00:00:00,2025-04-30 23:00:00,601393,712500,148,175,0,2026-09-14T22:39:51+00:00,0.9315792315531526,0.2336141999669645,3.987682391245428,8.261666148435393e-05,0.47197632959485564,1.3911821335114496,9.886432558567963,9.422804697593474,1313893,323,5054,323,estimated
mean_outcome,Hourly mean speed in place of the hourly median,exploratory association; unverified source; controls unapproved,mean_speed_mph,2025-01-05,2024-10-01 00:00:00,2025-04-30 23:00:00,601924,714088,148,175,0,2026-09-14T22:39:52+00:00,0.7714345673868662,0.2551636228438686,3.023293676383084,0.002701232035078907,0.2694362233229429,1.2734329114507896,7.977724185787334,9.669857586217518,1316012,323,5054,323,estimated
common_link_roster,Keep links with observations in both pre and post periods,exploratory association; unverified source; controls unapproved,median_speed_mph,2025-01-05,2024-10-01 00:00:00,2025-04-30 23:00:00,591419,709439,145,161,0,2026-09-14T22:39:54+00:00,0.8484561990374144,0.23897900922835155,3.550337754671538,0.00044544252244030916,0.37819991135849734,1.3187124867163316,8.967126336812953,9.461851736762393,1300858,306,5054,306,estimated
placebo_2024_11_17,Placebo November 17; actual pretreatment observations only,exploratory association; unverified source; controls unapproved,median_speed_mph,2024-11-17,2024-10-01 00:00:00,2025-01-04 23:00:00,305869,296055,148,169,0,2026-09-14T22:39:55+00:00,0.14829124535037733,0.2006003565777353,0.7392371971827103,0.4603117366875414,-0.24638985969225138,0.5429723503930061,1.5575667388035124,9.520699284082768,601924,317,2295,317,estimated
placebo_2024_12_01,Placebo December 1; actual pretreatment observations only,exploratory association; unverified source; controls unapproved,median_speed_mph,2024-12-01,2024-10-01 00:00:00,2025-01-04 23:00:00,389455,212469,148,169,0,2026-09-14T22:39:56+00:00,-0.11221689454135278,0.20575468883530976,-0.5453916757696514,0.5858689150623824,-0.5170391458206186,0.292605356737913,-1.173153308416795,9.565407499280106,601924,317,2295,317,estimated
eleventh_as_treated,D3 sensitivity: reassign 11th Avenue exempt links to treated,exploratory association; unverified source; controls unapproved,median_speed_mph,2025-01-05,2024-10-01 00:00:00,2025-04-30 23:00:00,610404,722542,152,175,4,2026-09-14T22:39:57+00:00,0.8500380366644507,0.23652482999884172,3.5938638521317756,0.00037612590851626455,0.3847304203997159,1.3153456529291854,8.752683109470095,9.711742399821826,1332946,327,5054,327,estimated
