k,coef,se,p_value,ci_low,ci_high,observed_week_min,observed_week_max,observed_week_count,pooled_tail
-12,0.20837561896488882,0.29170127449964794,0.4755308135385172,-0.36550538777156133,0.782256625701339,-14,-12,3,True
-11,0.046265214590291884,0.2881157389559574,0.8725260235408512,-0.520561758011299,0.6130921871918827,-11,-11,1,False
-10,0.277649681315005,0.2836088716010604,0.32832085775340875,-0.2803106671030188,0.8356100297330288,-10,-10,1,False
-9,0.5102255069555373,0.2701976318508452,0.05987880077574248,-0.021350123800079945,1.0418011377111545,-9,-9,1,False
-8,0.4338450393177817,0.2848203686303461,0.1286842976651699,-0.1264987581819002,0.9941888368174636,-8,-8,1,False
-7,0.6358079260936886,0.27321617742126586,0.020578396531782405,0.09829373379491668,1.1733221183924605,-7,-7,1,False
-6,0.969313249529723,0.29426837814223417,0.0010977557286973,0.3903818294026177,1.5482446696568282,-6,-6,1,False
-5,0.2636798122911455,0.348974399493194,0.45045041982839124,-0.4228779686096164,0.9502375931919074,-5,-5,1,False
-4,-0.03362223865632348,0.34933905170447394,0.9233856331558941,-0.720897421215604,0.6536529439029569,-4,-4,1,False
-3,0.37533715297118775,0.2932266331208367,0.20145806436016606,-0.20154478114435403,0.9522190870867295,-3,-3,1,False
-2,0.7918218708190919,0.2617289819077654,0.0026834397040010525,0.27690711123508527,1.3067366304030985,-2,-2,1,False
-1,0.0,0.0,,0.0,0.0,-1,-1,1,False
0,0.7019805314005252,0.16489262891218415,2.7189842102846202e-05,0.37757760225371295,1.0263834605473374,0,0,1,False
1,0.8774922084905916,0.20107056076081284,1.7216275819761097e-05,0.4819143145221609,1.2730701024590223,1,1,1,False
2,1.0494368416344109,0.20740584034519075,7.066278516954036e-07,0.6413951809852347,1.457478502283587,2,2,1,False
3,0.6864115136939387,0.2333597051778479,0.003503772844843205,0.22730929424393015,1.1455137331439473,3,3,1,False
4,1.2197326957207881,0.2945078896827153,4.4111311443597276e-05,0.6403300705082334,1.7991353209333427,4,4,1,False
5,1.391810576464133,0.32356190769758014,2.2521006622840514e-05,0.7552482794719142,2.0283728734563518,5,5,1,False
6,1.34097607197102,0.39252226272237095,0.0007161450200822383,0.568744028473879,2.113208115468161,6,6,1,False
7,1.7099560633483881,0.4276800845968962,7.919326588190303e-05,0.8685559771451543,2.551356149551622,7,7,1,False
8,1.482418947919626,0.3548752384685014,3.8032213341097105e-05,0.7842521008001863,2.1805857950390655,8,8,1,False
9,0.9885690052263564,0.3665562040721092,0.007366915527894211,0.26742151014180005,1.7097165003109127,9,9,1,False
10,1.2217017540921864,0.3591825788817989,0.000755073382464248,0.5150608238307386,1.9283426843536342,10,10,1,False
11,1.5512168743792514,0.41195900670648805,0.0001975786322881658,0.7407457857342385,2.361687963024264,11,11,1,False
12,1.2086250008051016,0.42796928960070996,0.005036929908594643,0.36665594465469653,2.050594056955507,12,16,5,True
