week,treated_minus_control_mph,period
2024-09-30,-7.902272727272726,pre
2024-10-07,-7.759090909090908,pre
2024-10-14,-8.389772727272726,pre
2024-10-21,-8.270454545454545,pre
2024-10-28,-7.484659090909091,pre
2024-11-04,-7.4812499999999975,pre
2024-11-11,-7.401136363636363,pre
2024-11-18,-7.228977272727272,pre
2024-11-25,-6.891477272727272,pre
2024-12-02,-8.014772727272726,pre
2024-12-09,-8.091477272727271,pre
2024-12-16,-7.661931818181817,pre
2024-12-23,-7.701136363636364,pre
2024-12-30,-8.098295454545458,pre
2025-01-06,-7.186363636363636,post
2025-01-13,-7.005681818181817,post
2025-01-20,-7.032954545454544,post
2025-01-27,-6.753409090909091,post
2025-02-03,-6.695454545454545,post
2025-02-10,-7.073863636363637,post
2025-02-17,-7.414772727272727,post
2025-02-24,-6.821590909090908,post
2025-03-03,-6.99715909090909,post
2025-03-10,-7.142045454545453,post
2025-03-17,-6.876136363636363,post
2025-03-24,-7.109659090909091,post
2025-03-31,-6.988636363636363,post
2025-04-07,-5.4136363636363605,post
2025-04-14,-5.357386363636364,post
2025-04-21,-6.623863636363636,post
2025-04-28,-6.949431818181817,post
